Employee_ID,Name,Department,Salary,Attendance,Performance_Score
101,Rahul,IT,50000,95,88
102,Priya,HR,45000,92,82
103,Aman,Sales,55000,97,91
104,Neha,IT,60000,85,75
105,Rohit,Finance,65000,98,94
106,Anjali,Sales,48000,80,70
107,Karan,IT,70000,99,96
108,Simran,HR,47000,88,79
109,Arjun,Finance,72000,96,92
110,Pooja,Sales,51000,90,84
111,Vikas,IT,58000,91,85
112,Ritika,HR,46000,87,78
113,Deepak,Finance,68000,95,90
114,Sneha,Sales,52000,89,83
115,Manoj,IT,62000,94,89
116,Kajal,HR,49000,86,80
117,Nitin,Finance,74000,99,97
118,Megha,Sales,53000,92,86
119,Akash,IT,56000,84,74
120,Isha,HR,50000,90,81
121,Yash,Finance,76000,97,95
122,Tanya,Sales,54000,88,82
123,Harsh,IT,59000,93,87
124,Nikita,HR,51000,85,77
125,Sachin,Finance,78000,98,96
126,Divya,Sales,55000,91,85
127,Rajat,IT,61000,89,83
128,Muskan,HR,52000,92,84
129,Abhishek,Finance,70000,96,93
130,Payal,Sales,56000,87,80
131,Mohit,IT,63000,95,90
132,Shreya,HR,53000,90,82
133,Ankit,Finance,79000,99,98
134,Ruchi,Sales,57000,93,88
135,Varun,IT,64000,94,91
136,Pallavi,HR,54000,88,79
137,Sumit,Finance,81000,97,96
138,Komal,Sales,58000,92,85
139,Ayush,IT,65000,86,78
140,Sonal,HR,55000,91,83
141,Gaurav,Finance,82000,98,97
142,Reena,Sales,59000,89,84
143,Shivam,IT,67000,95,92
144,Kirti,HR,56000,87,80
145,Ravi,Finance,83000,99,98
146,Monika,Sales,60000,94,89
147,Pankaj,IT,68000,90,86
148,Swati,HR,57000,93,85
149,Vivek,Finance,85000,97,95
150,Anu,Sales,61000,88,82
151,Ajay,IT,69000,96,94
152,Preeti,HR,58000,91,84
153,Krishna,Finance,87000,98,97
154,Bhavya,Sales,62000,92,86
155,Sandeep,IT,71000,89,88
156,Sheetal,HR,59000,86,79
157,Prakash,Finance,89000,99,99
158,Garima,Sales,63000,95,90
159,Hemant,IT,72000,94,91
160,Nisha,HR,60000,90,83
161,Suraj,Finance,91000,98,98
162,Radhika,Sales,64000,93,87
163,Ashish,IT,73000,97,95
164,Juhi,HR,61000,88,82
165,Dinesh,Finance,93000,99,99
166,Vaishali,Sales,65000,91,85
167,Prateek,IT,74000,95,93
168,Ankita,HR,62000,89,84
169,Tarun,Finance,95000,98,98
170,Mansi,Sales,66000,94,88
171,Aditya,IT,75000,96,94
172,Shivani,HR,63000,90,85
173,Vikram,Finance,97000,99,99
174,Kavita,Sales,67000,92,86
175,Manish,IT,76000,94,90
176,Neetu,HR,64000,88,81
177,Anil,Finance,99000,98,97
178,Shweta,Sales,68000,93,87
179,Pranav,IT,77000,95,92
180,Divya,HR,65000,90,84
